,id,name,lat,lng,order
0,8.189,Новокосино,55.745113,37.864052,0
1,8.88,Новогиреево,55.752237,37.814587,1
2,8.107,Перово,55.75098,37.78422,2
3,8.158,Шоссе Энтузиастов,55.75809,37.751703,3
4,8.1,Авиамоторная,55.751933,37.717444,4
5,8.112,Площадь Ильича,55.747115,37.680726,5
6,8.78,Марксистская,55.740746,37.65604,6
7,8.91,Третьяковская,55.741125,37.626142,7
8,2.558,Ховрино,55.8777,37.4877,0
9,2.674,Беломорская,55.8651,37.4764,1
10,2.125,Речной вокзал,55.854152,37.476728,2
11,2.29,Водный стадион,55.838978,37.487515,3
12,2.30,Войковская,55.818923,37.497791,4
13,2.133,Сокол,55.805564,37.515245,5
14,2.12,Аэропорт,55.800441,37.530477,6
15,2.34,Динамо,55.789704,37.558212,7
16,2.19,Белорусская,55.777439,37.582107,8
17,2.80,Маяковская,55.769808,37.596192,9
18,2.122,Тверская,55.765343,37.603918,10
19,2.99,Театральная,55.758808,37.61768,11
20,2.89,Новокузнецкая,55.742391,37.62928,12
21,2.101,Павелецкая,55.729741,37.638693,13
22,2.2,Автозаводская,55.706634,37.657008,14
23,2.512,Технопарк,55.695,37.664167,15
24,2.53,Коломенская,55.677423,37.663719,16
25,2.45,Каширская,55.655745,37.649683,17
26,2.42,Кантемировская,55.636107,37.656218,18
27,2.153,Царицыно,55.620982,37.669612,19
28,2.96,Орехово,55.61269,37.695214,20
29,2.38,Домодедовская,55.610131,37.717111,21
30,2.57,Красногвардейская,55.614075,37.742697,22
31,2.257,Алма-Атинская,55.63349,37.765678,23
32,6.81,Медведково,55.888103,37.661562,0
33,6.13,Бабушкинская,55.870641,37.664341,1
34,6.129,Свиблово,55.855558,37.653379,2
35,6.24,Ботанический сад,55.844597,37.637811,3
36,6.27,ВДНХ,55.819626,37.640751,4
37,6.8,Алексеевская,55.807794,37.638699,5
38,6.126,Рижская,55.792494,37.636114,6
39,6.120,Проспект Мира,55.781827,37.633199,7
40,6.137,Сухаревская,55.772315,37.63285,8
41,6.144,Тургеневская,55.765371,37.636732,9
42,6.50,Китай-город,55.756498,37.631326,10
43,6.90,Третьяковская,55.74073,37.625624,11
44,6.94,Октябрьская,55.731232,37.612851,12
45,6.157,Шаболовская,55.718828,37.607892,13
46,6.74,Ленинский проспект,55.70678,37.58499,14
47,6.3,Академическая,55.687147,37.5723,15
48,6.121,Профсоюзная,55.677671,37.562595,16
49,6.92,Новые Черемушки,55.670077,37.554493,17
50,6.41,Калужская,55.656682,37.540075,18
51,6.21,Беляево,55.642357,37.526115,19
52,6.56,Коньково,55.631857,37.519156,20
53,6.140,Теплый Стан,55.61873,37.505912,21
54,6.164,Ясенево,55.606182,37.5334,22
55,6.23,Новоясеневская,55.601947,37.553017,23
56,1.148,Бульвар Рокоссовского,55.814916,37.732227,0
57,1.155,Черкизовская,55.802787,37.744863,1
58,1.117,Преображенская площадь,55.796322,37.713582,2
59,1.134,Сокольники,55.789282,37.679895,3
60,1.60,Красносельская,55.780014,37.666097,4
61,1.54,Комсомольская,55.774072,37.654565,5
62,1.61,Красные ворота,55.768307,37.6478,6
63,1.143,Чистые пруды,55.76499,37.638293,7
64,1.66,Лубянка,55.759889,37.625336,8
65,1.98,Охотный ряд,55.757228,37.615078,9
66,1.4,Библиотека им.Ленина,55.752123,37.610388,10
67,1.64,Кропоткинская,55.745297,37.604217,11
68,1.103,Парк культуры,55.736163,37.595027,12
69,1.152,Фрунзенская,55.727462,37.58022,13
70,1.135,Спортивная,55.722388,37.562041,14
71,1.165,Воробьевы горы,55.709169,37.557293,15
72,1.149,Университет,55.69329,37.534511,16
73,1.118,Проспект Вернадского,55.676549,37.504584,17
74,1.162,Юго-Западная,55.663146,37.482852,18
75,1.505,Тропарево,55.6459,37.4725,19
76,1.513,Румянцево,55.633,37.4419,20
77,1.514,Саларьево,55.6227,37.424,21
78,1.678,Филатов луг,55.5997,37.4075,22
79,1.679,Прокшино ,55.5813,37.4425,23
80,1.680,Ольховая ,55.5692,37.4589,24
81,1.681,Коммунарка,55.559765,37.468716,25
82,3.159,Щелковская,55.809962,37.798261,0
83,3.106,Первомайская,55.794376,37.799364,1
84,3.40,Измайловская,55.787713,37.779896,2
85,3.105,Партизанская,55.788401,37.74882,3
86,3.130,Семеновская,55.783096,37.719289,4
87,3.161,Электрозаводская,55.782057,37.7053,5
88,3.17,Бауманская,55.772405,37.67904,6
89,3.100,Площадь Революции,55.756741,37.62236,7
90,3.70,Курская,55.758564,37.659039,8
91,3.5,Арбатская,55.752312,37.60349,9
92,3.131,Смоленская,55.747713,37.583802,10
93,3.47,Киевская,55.743117,37.564132,11
94,3.173,Парк Победы,55.735679,37.516865,12
95,3.176,Славянский бульвар,55.729542,37.470973,13
96,3.69,Кунцевская,55.730673,37.446522,14
97,3.84,Молодежная,55.741375,37.415627,15
98,3.65,Крылатское,55.756842,37.408139,16
99,3.174,Строгино,55.803831,37.402405,17
100,3.181,Мякинино,55.823342,37.385214,18
101,3.182,Волоколамская,55.835154,37.382453,19
102,3.183,Митино,55.846098,37.36122,20
103,3.463,Пятницкое шоссе,55.853634,37.353108,21
104,4.471,Кунцевская,55.730815,37.446754,0
105,4.110,Пионерская,55.736027,37.466728,1
106,4.150,Филевский парк,55.739665,37.483902,2
107,4.14,Багратионовская,55.743544,37.497042,3
108,4.151,Фили,55.746763,37.514035,4
109,4.73,Кутузовская,55.740544,37.5341,5
110,4.136,Студенческая,55.738761,37.54842,6
111,4.48,Киевская,55.743168,37.565425,7
112,4.132,Смоленская,55.749083,37.582173,8
113,4.11,Арбатская,55.752122,37.601553,9
114,4.6,Александровский сад,55.752255,37.608775,10
115,4.172,Выставочная,55.750243,37.542641,11
116,4.179,Международная,55.748324,37.533282,12
117,9.9,Алтуфьево,55.899034,37.586473,0
118,9.22,Бибирево,55.883868,37.603011,1
119,9.97,Отрадное,55.864273,37.605066,2
120,9.28,Владыкино,55.848236,37.590451,3
121,9.108,Петровско-Разумовская,55.836565,37.575512,4
122,9.141,Тимирязевская,55.81866,37.574498,5
123,9.35,Дмитровская,55.808056,37.581734,6
124,9.128,Савёловская,55.794054,37.587163,7
125,9.83,Менделеевская,55.781999,37.599141,8
126,9.154,Цветной бульвар,55.771653,37.620466,9
127,9.123,Чеховская,55.765747,37.608493,10
128,9.7,Боровицкая,55.750399,37.60934,11
129,9.115,Полянка,55.736795,37.618594,12
130,9.37,Серпуховская,55.726548,37.624792,13
131,9.142,Тульская,55.70961,37.622569,14
132,9.85,Нагатинская,55.682099,37.620917,15
133,9.86,Нагорная,55.672962,37.610397,16
134,9.87,Нахимовский проспект,55.662379,37.605274,17
135,9.43,Севастопольская,55.651451,37.59809,18
136,9.156,Чертановская,55.640538,37.606065,19
137,9.163,Южная,55.622436,37.609047,20
138,9.116,Пражская,55.610962,37.602386,21
139,9.147,Улица Академика Янгеля,55.596753,37.601498,22
140,9.10,Аннино,55.583477,37.596999,23
141,9.170,Бульвар Дмитрия Донского,55.568201,37.576856,24
142,7.111,Планерная,55.859676,37.436808,0
143,7.138,Сходненская,55.84926,37.44076,1
144,7.145,Тушинская,55.825479,37.437024,2
145,7.507,Спартак,55.8182,37.4352,3
146,7.160,Щукинская,55.8094,37.463241,4
147,7.95,Октябрьское поле,55.793581,37.493317,5
148,7.114,Полежаевская,55.777201,37.517895,6
149,7.18,Беговая,55.773505,37.545518,7
150,7.146,Улица 1905 года,55.763944,37.562271,8
151,7.16,Баррикадная,55.760793,37.581242,9
152,7.124,Пушкинская,55.765607,37.604356,10
153,7.67,Кузнецкий мост,55.761498,37.624423,11
154,7.51,Китай-город,55.75436,37.633877,12
155,7.77,Таганская,55.739502,37.653605,13
156,7.62,Пролетарская,55.731546,37.666917,14
157,7.31,Волгоградский проспект,55.725546,37.685197,15
158,7.139,Текстильщики,55.709211,37.732117,16
159,7.68,Кузьминки,55.705493,37.763295,17
160,7.127,Рязанский проспект,55.716139,37.792694,18
161,7.33,Выхино,55.715983,37.816788,19
162,7.464,Лермонтовский проспект,55.702036,37.851044,20
163,7.465,Жулебино,55.684722,37.855833,21
164,7.508,Котельники,55.6743,37.8582,22
165,5.82,Новослободская,55.779606,37.601252,0
166,5.119,Проспект Мира,55.779584,37.633646,1
167,5.55,Комсомольская,55.775672,37.654772,2
168,5.71,Курская,55.758631,37.661059,3
169,5.76,Таганская,55.742396,37.653334,4
170,5.102,Павелецкая,55.731414,37.636294,5
171,5.36,Добрынинская,55.728994,37.622533,6
172,5.93,Октябрьская,55.729264,37.611049,7
173,5.104,Парк культуры,55.735221,37.593095,8
174,5.49,Киевская,55.74361,37.56735,10
175,5.58,Краснопресненская,55.760378,37.577114,11
176,5.20,Белорусская,55.775179,37.582303,12
177,10.597,Селигерская,55.86483,37.55005,0
178,10.598,Верхние Лихоборы,55.85566,37.56282,1
179,10.596,Окружная,55.848889,37.571111,2
180,10.548,Петровско-Разумовская,55.836667,37.575556,3
181,10.547,Фонвизинская,55.822778,37.588056,4
182,10.546,Бутырская ,55.813333,37.602778,5
183,10.185,Марьина Роща,55.793723,37.61618,6
184,10.184,Достоевская,55.781667,37.613889,7
185,10.177,Трубная,55.76771,37.621926,8
186,10.175,Сретенский бульвар,55.766106,37.635688,9
187,10.72,Чкаловская,55.755951,37.659293,10
188,10.113,Римская,55.747027,37.679996,11
189,10.63,Крестьянская застава,55.732278,37.665325,12
190,10.39,Дубровка,55.71807,37.676259,13
191,10.52,Кожуховская,55.706156,37.68544,14
192,10.109,Печатники,55.692921,37.728338,15
193,10.32,Волжская,55.690446,37.754314,16
194,10.75,Люблино,55.676596,37.761639,17
195,10.25,Братиславская,55.658817,37.748415,18
196,10.79,Марьино,55.649158,37.743844,19
197,10.187,Борисово,55.6325,37.743333,20
198,10.188,Шипиловская,55.621667,37.743611,21
199,10.186,Зябликово,55.611944,37.745278,22
200,11.46,Каширская,55.654327,37.647705,0
201,11.26,Варшавская,55.653294,37.619522,1
202,11.44,Каховская,55.652923,37.596573,2
203,12.167,Бунинская аллея,55.537977,37.515899,0
204,12.168,Улица Горчакова,55.542281,37.532063,1
205,12.169,Бульвар Адмирала Ушакова,55.545207,37.542329,2
206,12.166,Улица Скобелевская,55.548103,37.552721,3
207,12.171,Улица Старокачаловская,55.569194,37.576074,4
208,12.466,Лесопарковая,55.581656,37.577816,5
209,12.467,Битцевский Парк,55.600066,37.556058,6
210,133.468,Деловой центр,55.7491,37.5395,12
211,133.470,Парк Победы,55.736478,37.514401,13
212,133.555,Минская,55.7232,37.5038,14
213,133.556,Ломоносовский проспект,55.7055,37.5225,15
214,133.557,Раменки,55.6961,37.505,16
215,133.607,Мичуринский проспект,55.6888,37.485,17
216,133.608,Озёрная,55.6698,37.4495,18
217,133.609,Говорово ,55.6588,37.4174,19
218,133.610,Солнцево,55.649,37.3911,20
219,133.611,Боровское шоссе,55.647,37.3701,21
220,133.612,Новопеределкино,55.6385,37.3544,22
221,133.613,Рассказовка,55.6324,37.3328,23
222,95.515,Окружная,55.848889,37.571111,0
223,95.516,Владыкино,55.847222,37.591944,1
224,95.517,Ботанический сад,55.845556,37.640278,2
225,95.518,Ростокино,55.839444,37.667778,3
226,95.519,Белокаменная,55.83,37.700556,4
227,95.520,Бульвар Рокоссовского,55.817222,37.736944,5
228,95.521,Локомотив,55.803219,37.745742,6
229,95.522,Измайлово,55.788611,37.742778,7
230,95.523,Соколиная Гора,55.77,37.745278,8
231,95.524,Шоссе Энтузиастов,55.758633,37.748477,9
232,95.525,Андроновка,55.741111,37.734444,10
233,95.526,Нижегородская,55.732222,37.72825,11
234,95.527,Новохохловская,55.723889,37.716111,12
235,95.528,Угрешская,55.718333,37.697778,13
236,95.529,Дубровка,55.71268,37.677775,14
237,95.530,Автозаводская,55.70631,37.66314,15
238,95.531,ЗИЛ,55.698333,37.648333,16
239,95.532,Верхние Котлы,55.69,37.618889,17
240,95.533,Крымская,55.690038,37.605,18
241,95.534,Площадь Гагарина,55.706944,37.585833,19
242,95.535,Лужники,55.720278,37.563056,20
243,95.536,Кутузовская,55.740833,37.533333,21
244,95.537,Деловой центр,55.747222,37.532222,22
245,95.538,Шелепиха,55.7575,37.525556,23
246,95.539,Хорошево,55.777222,37.507222,24
247,95.540,Зорге,55.787778,37.504444,25
248,95.541,Панфиловская,55.799167,37.498889,26
249,95.542,Стрешнево,55.813611,37.486944,27
250,95.543,Балтийская,55.825833,37.496111,28
251,95.544,Коптево,55.839637,37.520037,29
252,95.545,Лихоборы,55.847222,37.551389,30
253,96.549,Тимирязевская,55.819049,37.578882,0
254,96.550,Улица Милашенкова,55.821876,37.591206,1
255,96.551,Телецентр,55.821795,37.608975,2
256,96.552,Улица Академика Королёва,55.821821,37.627167,3
257,96.553,Выставочный центр,55.824086,37.638494,4
258,96.554,Улица Сергея Эйзенштейна,55.829305,37.644997,5
259,97.599,Петровский парк,55.79233,37.55952,0
260,97.600,ЦСКА,55.78643,37.53502,1
261,97.601,Хорошевская,55.77643,37.51981,2
262,97.602,Шелепиха,55.75723,37.52571,3
263,97.603,Деловой центр,55.7491,37.5395,4
264,97.685,Савёловская,55.794054,37.587163,5
265,97.803,Электрозаводская,55.782057,37.7053,6
266,97.805,Мнёвники,55.761153,37.47139,7
267,97.806,Народное Ополчение,55.775278,39.484444,8
268,97.809,Терехово,55.749167,38.460556,9
269,97.810,Кунцевская,55.730278,37.445833,10
270,97.811,Давыдково,55.765278,37.451667,11
271,97.812,Аминьевская,55.697222,37.464167,12
272,97.813,Мичуринский проспект,55.688333,37.485,13
273,97.814,Проспект Вернадского,55.677778,37.505,14
274,97.815,Новаторская,55.670833,37.52,15
275,97.816,Воронцовская,55.658333,37.540833,16
276,97.817,Зюзино,55.489722,37.572222,17
277,97.818,Каховская,55.653056,37.598333,18
278,98.675,Косино,55.7026,37.8511,0
279,98.676,Улица Дмитриевского ,55.7093,37.8792,1
280,98.677,Лухмановская,55.7078,37.9004,2
281,98.641,Некрасовка,55.7029,37.9264,3
282,98.762,Юго-Восточная,55.71,37.82,4
283,98.763,Окская,55.72,37.77,5
284,98.764,Стахановская,55.73,37.76,6
285,98.765,Нижегородская,55.73,37.73,7
286,98.800,Лефортово,55.764444,37.702778,8
287,98.802,Электрозаводская,55.782057,37.7053,9
288,98.804,Авиамоторная,55.751933,37.717444,10
289,131.687,Лобня,56.0048,37.29057,0
290,131.688,Шереметьевская,55.983882,37.498752,1
291,131.689,Хлебниково,55.970682,37.504638,2
292,131.690,Водники,55.953419,37.511143,3
293,131.691,Долгопрудная,55.938656,37.520542,4
294,131.692,Новодачная,55.924459,37.527877,5
295,131.693,Марк,55.904458,37.538242,6
296,131.694,Лианозово,55.897316,37.553261,7
297,131.695,Бескудниково,55.882713,37.567768,8
298,131.696,Дегунино,55.86586,37.573235,9
299,131.697,Окружная,55.848889,37.571111,10
300,131.698,Тимирязевская,55.81866,37.574498,11
301,131.699,Савёловская,55.793936,37.587038,12
302,131.700,Белорусская,55.775179,37.582303,13
303,131.701,Беговая,55.773505,37.545518,14
304,131.702,Тестовская,55.754292,37.531551,15
305,131.703,Фили,55.744263,37.514526,16
306,131.704,Кунцевская,55.730554,37.445591,17
307,131.705,Рабочий Посёлок,55.726957,37.415577,18
308,131.706,Сетунь,55.723713,37.397259,19
309,131.707,Немчиновка,55.715668,37.374611,20
310,131.708,Сколково,55.666801,37.424618,21
311,131.709,Баковка,55.682816,37.315205,22
312,131.710,Одинцово,55.67798,37.27773,23
313,131.801,Славянский бульвар,55.729722,37.470556,24
314,132.711,Нахабино,55.841522,37.185204,0
315,132.712,Аникеевка,55.832099,37.219829,1
316,132.713,Опалиха,55.82333,37.246843,2
317,132.714,Красногорская,55.814571,37.303337,3
318,132.715,Павшино,55.815231,37.341461,4
319,132.716,Пенягино,55.822539,37.361049,5
320,132.717,Волоколамская,55.835154,37.382453,6
321,132.718,Тушинская,55.825479,37.437024,7
322,132.719,Покровское-Стрешнево,55.814247,37.47678,8
323,132.720,Стрешнево,55.813611,37.486944,9
324,132.721,Красный Балтиец,55.815514,37.526367,10
325,132.722,Гражданская,55.805527,37.55315,11
326,132.723,Дмитровская,55.808056,37.581734,12
327,132.724,Рижская,55.792494,37.636114,13
328,132.725,Каланчёвская,55.77667,37.65111,14
329,132.726,Курская,55.757622,37.660767,15
330,132.727,Москва Товарная,55.745358,37.688839,16
331,132.728,Калитники,55.733981,37.702203,17
332,132.729,Новохохловская,55.718523,37.719236,18
333,132.730,Текстильщики,55.708934,37.731283,19
334,132.731,Люблино,55.676596,37.761639,20
335,132.732,Депо,55.674257,37.728446,21
336,132.733,Перерва,55.660809,37.716278,22
337,132.734,Москворечье,55.641239,37.689789,23
338,132.735,Царицыно,55.618309,37.668846,24
339,132.736,Покровское,55.814247,37.47678,25
340,132.737,Красный строитель,55.589455,37.615093,26
341,132.738,Битца,55.571186,37.611443,27
342,132.739,Бутово,55.548279,37.555668,28
343,132.740,Щербинка,55.509724,37.562008,29
344,132.741,Остафьево,55.50337,37.520055,30
345,132.742,Силикатная,55.470278,37.555278,31
346,132.743,Подольск,55.431667,37.565,32
347,132.744,Трикотажная,55.833137,37.398967,33
348,132.807,Курьяново,55.649722,37.701667,34
